,id,title,imdb_id,original_language,release_date,revenue,vote_average
174,8973,Lord of Illusions,tt0113690,en,8/25/1995,0.0,5.9
175,15730,Love & Human Remains,tt0107447,en,5/20/1993,0.0,7.0
176,47608,Mad Love,tt0113729,en,5/26/1995,15453274.0,5.5
178,9070,Mighty Morphin Power Rangers: The Movie,tt0113820,en,6/30/1995,66000000.0,5.2
179,68274,Moonlight and Valentino,tt0113851,en,9/29/1995,0.0,5.6
180,48787,Mute Witness,tt0110604,en,9/28/1995,1.0,6.4
181,34574,Nadja,tt0110620,en,9/13/1994,0.0,5.9
182,1642,The Net,tt0113957,en,7/28/1995,110627965.0,5.6
183,11472,Nine Months,tt0113986,en,7/12/1995,69660733.0,5.5
184,36196,Party Girl,tt0114095,en,6/9/1995,472370.0,5.8
185,11980,The Prophecy,tt0114194,en,9/1/1995,16.0,6.4
187,32646,Safe,tt0114323,en,6/23/1995,0.0,7.2
189,56088,The Show,tt0114435,en,8/25/1995,0.0,5.3
190,10802,Showgirls,tt0114436,en,9/22/1995,20350754.0,4.9
191,10149,Smoke,tt0114478,en,6/9/1995,8349430.0,7.2
192,18402,Something to Talk About,tt0114496,en,8/4/1995,50892160.0,5.7
193,9348,Species,tt0114508,en,7/7/1995,113374103.0,5.5
194,139408,The Stars Fell on Henrietta,tt0114534,en,9/15/1995,0.0,6.6
197,79593,The Tie That Binds,tt0114666,en,9/8/1995,5780000.0,4.6
200,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",tt0114682,en,9/7/1995,47774193.0,6.3
201,3512,Under Siege 2: Dark Territory,tt0114781,en,7/13/1995,104324083.0,5.6
202,52856,Unstrung Heroes,tt0114798,en,9/15/1995,0.0,6.4
203,77350,Unzipped,tt0114805,en,8/11/1995,0.0,6.0
204,9560,A Walk in the Clouds,tt0114887,en,8/11/1995,50012507.0,6.5
205,9804,Waterworld,tt0114898,en,7/28/1995,264218220.0,5.9
209,26258,Bushwhacked,tt0112602,en,8/4/1995,0.0,4.9
211,19155,Before the Rain,tt0110882,en,6/9/1994,763847.0,7.7
213,11017,Billy Madison,tt0112508,en,2/10/1995,26488734.0,6.2
215,9382,Boys on the Side,tt0112571,en,2/3/1995,23450000.0,6.3
216,6715,The Cure,tt0112757,en,4/21/1995,0.0,7.2
217,18256,Castle Freak,tt0112643,en,8/4/1995,0.0,5.8
218,22625,Circle of Friends,tt0112679,en,3/16/1995,0.0,6.5
219,2292,Clerks,tt0109445,en,9/13/1994,3151130.0,7.4
221,8984,Disclosure,tt0109635,en,12/9/1994,214015089.0,5.9
223,4954,Drop Zone,tt0109676,en,12/8/1994,0.0,5.1
225,10531,Death and the Maiden,tt0109579,en,5/4/1994,0.0,7.1
226,11929,Dolores Claiborne,tt0109642,en,3/24/1995,0.0,7.1
229,20156,Exotica,tt0109759,en,9/24/1994,0.0,6.5
231,522,Ed Wood,tt0109707,en,9/27/1994,5887457.0,7.3
232,397,French Kiss,tt0113117,en,5/5/1995,0.0,6.2
233,10525,Forget Paris,tt0113097,en,5/19/1995,0.0,6.1
235,15789,A Goofy Movie,tt0113198,en,4/7/1995,35348597.0,6.7
236,27303,Hideaway,tt0113303,en,3/3/1995,12201255.0,5.0
237,21183,Fluke,tt0113089,en,6/2/1995,0.0,6.6
239,47867,Gordy,tt0113199,en,5/12/1995,3992809.0,3.0
241,72031,The Glass Shield,tt0109906,en,9/16/1994,0.0,5.4
242,14275,Hoop Dreams,tt0110057,en,9/12/1994,7830611.0,7.7
243,1024,Heavenly Creatures,tt0110005,en,9/2/1994,3049135.0,6.9
246,14819,Heavyweights,tt0110006,en,2/17/1995,17689177.0,6.0
247,32631,The Hunted,tt0113360,en,2/24/1995,0.0,6.0
250,87729,Jefferson in Paris,tt0113463,en,3/31/1995,2474000.0,5.2
251,18713,The Jerky Boys,tt0110189,en,2/3/1995,0.0,4.8
253,9061,Just Cause,tt0113501,en,2/17/1995,0.0,6.0
254,37108,A Kid in King Arthur's Court,tt0113538,en,8/11/1995,0.0,4.3
255,6071,Kiss of Death,tt0113552,en,4/21/1995,0.0,5.7
256,11,Star Wars,tt0076759,en,5/25/1977,775398007.0,8.1
258,19101,A Little Princess,tt0113670,en,5/10/1995,0.0,7.4
259,49980,Ladybird Ladybird,tt0110296,en,2/18/1994,0.0,7.4
263,11008,Major Payne,tt0110443,en,3/24/1995,0.0,6.1
265,32325,Mi Vida Loca,tt0107566,en,6/8/1994,0.0,5.7
267,28313,Losing Isaiah,tt0113691,en,3/17/1995,7603766.0,6.4
270,40490,Man of the House,tt0113755,en,3/3/1995,0.0,5.1
272,8986,Milk Money,tt0110516,en,8/31/1994,18137661.0,5.6
275,38722,My Family,tt0113896,en,5/3/1995,0.0,7.0
279,39310,New Jersey Drive,tt0113967,en,4/19/1995,0.0,6.9
280,109560,New York Cop,tt0117169,en,8/14/1993,0.0,0.0
281,56428,Beyond Bedlam,tt0106402,en,4/22/1994,0.0,4.0
282,63105,Nemesis 2 - Nebula,tt0113948,en,9/26/1995,0.0,4.6
283,131957,Nina Takes a Lover,tt0110671,en,3/3/1995,0.0,7.4
284,241,Natural Born Killers,tt0110632,en,8/25/1994,50282766.0,6.9
285,9058,Only You,tt0110737,en,9/17/1994,0.0,6.4
286,527,Once Were Warriors,tt0110729,en,9/2/1994,2201126.0,7.6
288,6950,Outbreak,tt0114069,en,3/10/1995,189859560.0,6.4
290,63020,The Perez Family,tt0114113,en,5/12/1995,2832826.0,6.6
291,2307,A Pyromaniac's Love Story,tt0114210,en,4/28/1995,0.0,7.0
292,680,Pulp Fiction,tt0110912,en,9/10/1994,213928762.0,8.3
296,11450,Quiz Show,tt0110932,en,9/16/1994,0.0,7.1
297,30304,Picture Bride,tt0114129,en,5/5/1995,0.0,7.4
299,12106,The Quick and the Dead,tt0114214,en,2/9/1995,18552460.0,6.2
308,28033,Stuart Saves His Family,tt0114571,en,4/12/1995,0.0,5.0
314,278,The Shawshank Redemption,tt0111161,en,9/23/1994,28341469.0,8.5
316,87078,Suture,tt0108260,en,9/14/1993,102780.0,6.0
318,20306,Swimming with Sharks,tt0114594,en,9/10/1994,0.0,6.7
319,36614,The Sum of Us,tt0111309,en,7/12/1994,0.0,6.0
320,27993,Senior Trip,tt0113936,en,9/8/1995,0.0,5.7
322,9067,Tank Girl,tt0114614,en,3/31/1995,4064495.0,5.5
325,25066,Tales from the Hood,tt0114609,en,5/24/1995,12000000.0,5.4
326,46797,Tom & Viv,tt0111454,en,4/15/1994,0.0,5.8
327,12122,Village of the Damned,tt0114852,en,4/28/1995,0.0,5.6
328,11381,Tommy Boy,tt0114694,en,3/31/1995,32648673.0,6.8
329,32636,Vanya on 42nd Street,tt0111590,en,9/13/1994,0.0,6.1
330,36141,The Underneath,tt0114788,en,4/28/1995,0.0,5.6
331,95963,The Walking Dead,tt0114888,en,2/24/1995,0.0,6.6
333,9271,Virtuosity,tt0114857,en,8/4/1995,24048000.0,5.4
334,2064,While You Were Sleeping,tt0114924,en,4/21/1995,182057016.0,6.5
336,60855,Double Happiness,tt0109655,en,9/7/1994,759393.0,5.5
337,236,Muriel's Wedding,tt0110598,en,9/29/1994,15119639.0,6.9
338,48287,The Baby-Sitters Club,tt0112435,en,8/18/1995,0.0,5.3
339,3049,Ace Ventura: Pet Detective,tt0109040,en,2/4/1994,107217396.0,6.4
340,2759,"The Adventures of Priscilla, Queen of the Desert",tt0109045,en,5/31/1994,11220670.0,7.2
341,12635,Backbeat,tt0106339,en,4/1/1994,0.0,6.2
342,10497,Bitter Moon,tt0104779,en,9/2/1992,1862805.0,7.0
